question_id,question_text,answer,question_title,hashtags,topics_algebra,topics_geometry,topics_trignometry,topics_arithmetic,calculator,answer_type,chart,length
problem307,"Everything is perfect in the universe, even your desire to improve it.",307,Wayne Dyer,"Geometry,No Calculator,Grid-In,No Chart,Short",,Geometry,,,No Calculator,Grid-In,No Chart,Short
problem308,"The universe is full of magical things, patiently waiting for our wits to grow sharper.",308,Eden Phillpotts,"Arithmetic,No Calculator,Grid-In,Chart,Long",,,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem309,"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",309,Buddha,"Arithmetic,No Calculator,Grid-In,No Chart,Short",,,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem310,A thing long expected takes the form of the unexpected when at last it comes.,310,Mark Twain,"Algebra,Arithmetic,Calculator,Grid-In,No Chart,Short",Algebra,,,Arithmetic,Calculator,Grid-In,No Chart,Short
problem311,Action may not always bring happiness; but there is no happiness without action.,311,Benjamin Disraeli,"No Calculator,Grid-In,Chart,Short",,,,,No Calculator,Grid-In,Chart,Short
problem312,I don't believe in failure. It is not failure if you enjoyed the process.,312,Oprah Winfrey,"Algebra,Geometry,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,,Calculator,Grid-In,No Chart,Long
problem313,"What you do not want done to yourself, do not do to others.",313,Confucius,"Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long
problem314,Short words are best and the old words when short are best of all.,314,Winston Churchill,"Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem315,"If you light a lamp for somebody, it will also brighten your path.",315,Buddha,"Geometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",,Geometry,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem316,I have done my best: that is about all the philosophy of living one needs.,316,Lin-yutang,"Algebra,Trignometry,No Calculator,Grid-In,Chart,Long",Algebra,,Trignometry,,No Calculator,Grid-In,Chart,Long
problem317,Through perseverance many people win success out of what seemed destined to be certain failure.,317,Benjamin Disraeli,"Algebra,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",Algebra,,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem318,Give thanks for the rain of life that propels us to reach new horizons.,318,Byron Pulsifer,"Geometry,No Calculator,Grid-In,No Chart,Short",,Geometry,,,No Calculator,Grid-In,No Chart,Short
problem319,Love is just a word until someone comes along and gives it meaning.,319,Master Yoda,"No Calculator,Grid-In,No Chart,Long",,,,,No Calculator,Grid-In,No Chart,Long
problem320,We all have problems. The way we solve them is what makes us different.,320,Master Yoda,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem321,The secret to a rich life is to have more beginnings than endings.,321,Dave Weinbaum,"Algebra,Geometry,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,,,No Calculator,Grid-In,Chart,Long
problem322,It is only when the mind and character slumber that the dress can be seen.,322,Ralph Waldo Emerson,"Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",,,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem323,"If you don't like something, change it. If you can't change it, change your attitude.",323,Maya Angelou,"Algebra,Geometry,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,,,No Calculator,Grid-In,Chart,Short
problem324,"Reviewing what you have learned and learning anew, you are fit to be a teacher.",324,Confucius,"Geometry,No Calculator,Grid-In,Chart,Long",,Geometry,,,No Calculator,Grid-In,Chart,Long
problem325,"The world is a book, and those who do not travel read only a page.",325,Augustinus Sanctus,"Trignometry,Calculator,Grid-In,Chart,Long",,,Trignometry,,Calculator,Grid-In,Chart,Long
problem326,So long as a person is capable of self-renewal they are a living being.,326,Henri-Frederic Amiel,"Algebra,Trignometry,Calculator,Multiple Choice,Chart,Short",Algebra,,Trignometry,,Calculator,Multiple Choice,Chart,Short
problem327,"I'm not afraid of storms, for Im learning how to sail my ship.",327,Louisa Alcott,"Algebra,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem328,Think for yourselves and let others enjoy the privilege to do so too.,328,Voltaire,"Geometry,Arithmetic,Calculator,Grid-In,No Chart,Long",,Geometry,,Arithmetic,Calculator,Grid-In,No Chart,Long
problem329,"How we spend our days is, of course, how we spend our lives.",329,Annie Dillard,"Algebra,Geometry,Trignometry,Calculator,Grid-In,No Chart,Short",Algebra,Geometry,Trignometry,,Calculator,Grid-In,No Chart,Short
problem330,"It has never been my object to record my dreams, just to realize them.",330,Man Ray,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem331,The most complicated achievements of thought are possible without the assistance of consciousness.,331,Sigmund Freud,"Trignometry,Calculator,Multiple Choice,No Chart,Short",,,Trignometry,,Calculator,Multiple Choice,No Chart,Short
problem332,"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",332,Wayne Dyer,"Algebra,Geometry,No Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,,,No Calculator,Multiple Choice,No Chart,Long
problem333,Most great people have attained their greatest success just one step beyond their greatest failure.,333,Napoleon Hill,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Short
problem334,"If you think you can, you can. And if you think you can't, you're right.",334,Henry Ford,"Algebra,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem335,"Better to have loved and lost, than to have never loved at all.",335,St. Augustine,"Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short",,,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short
problem336,"Everyone thinks of changing the world, but no one thinks of changing himself.",336,Leo Tolstoy,"Algebra,Geometry,Trignometry,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,Trignometry,,No Calculator,Grid-In,Chart,Long
problem337,The best way to pay for a lovely moment is to enjoy it.,337,Richard Bach,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long
problem338,"You have enemies? Good. That means you've stood up for something, sometime in your life.",338,Winston Churchill,"Algebra,Trignometry,No Calculator,Grid-In,No Chart,Short",Algebra,,Trignometry,,No Calculator,Grid-In,No Chart,Short
problem339,Slow down and everything you are chasing will come around and catch you.,339,John De Paola,"Calculator,Multiple Choice,No Chart,Long",,,,,Calculator,Multiple Choice,No Chart,Long
problem340,Your worst enemy cannot harm you as much as your own unguarded thoughts.,340,Buddha,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Long
problem341,"I always wanted to be somebody, but I should have been more specific.",341,Lily Tomlin,"Algebra,Geometry,Arithmetic,No Calculator,Multiple Choice,Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Multiple Choice,Chart,Short
problem342,"Yeah we all shine on, like the moon, and the stars, and the sun.",342,John Lennon,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Long
problem343,Knowledge is a process of piling up facts; wisdom lies in their simplification.,343,Martin Fischer,"Geometry,Trignometry,No Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,,No Calculator,Grid-In,No Chart,Long
problem344,Life is like riding a bicycle. To keep your balance you must keep moving.,344,Albert Einstein,"Algebra,Trignometry,No Calculator,Multiple Choice,No Chart,Short",Algebra,,Trignometry,,No Calculator,Multiple Choice,No Chart,Short
problem345,We should all be thankful for those people who rekindle the inner spirit.,345,Albert Schweitzer,"Geometry,No Calculator,Grid-In,No Chart,Long",,Geometry,,,No Calculator,Grid-In,No Chart,Long
problem346,Opportunity is missed by most because it is dressed in overalls and looks like work.,346,Thomas Edison,"Geometry,Arithmetic,No Calculator,Grid-In,Chart,Long",,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem347,Feeling and longing are the motive forces behind all human endeavor and human creations.,347,Albert Einstein,"Algebra,Geometry,Arithmetic,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Grid-In,No Chart,Long
problem348,In the end we retain from our studies only that which we practically apply.,348,Johann Wolfgang von Goethe,"Algebra,Geometry,Calculator,Multiple Choice,No Chart,Short",Algebra,Geometry,,,Calculator,Multiple Choice,No Chart,Short
problem349,"If you correct your mind, the rest of your life will fall into place.",349,Lao Tzu,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem350,The world makes way for the man who knows where he is going.,350,Ralph Emerson,"Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long
problem351,When your desires are strong enough you will appear to possess superhuman powers to achieve.,351,Napoleon Hill,"Algebra,Trignometry,No Calculator,Multiple Choice,Chart,Short",Algebra,,Trignometry,,No Calculator,Multiple Choice,Chart,Short
problem352,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,352,John Adams,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long
problem353,I cannot make my days longer so I strive to make them better.,353,Henry David Thoreau,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short
problem354,Tension is who you think you should be. Relaxation is who you are.,354,Chinese proverb,"Algebra,Geometry,No Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,,,No Calculator,Multiple Choice,Chart,Long
problem355,Never bend your head. Always hold it high. Look the world right in the eye.,355,Helen Keller,"Geometry,Trignometry,No Calculator,Multiple Choice,Chart,Long",,Geometry,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem356,One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity.,356,Albert Schweitzer,"Calculator,Multiple Choice,Chart,Long",,,,,Calculator,Multiple Choice,Chart,Long
problem357,"We cannot do everything at once, but we can do something at once.",357,Calvin Coolidge,"Arithmetic,Calculator,Grid-In,Chart,Long",,,,Arithmetic,Calculator,Grid-In,Chart,Long
problem358,You have to do your own growing no matter how tall your grandfather was.,358,Abraham Lincoln,"Algebra,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Short",Algebra,,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Short
problem359,"Invent your world. Surround yourself with people, color, sounds, and work that nourish you.",359,Master Yoda,"Geometry,Trignometry,No Calculator,Multiple Choice,No Chart,Long",,Geometry,Trignometry,,No Calculator,Multiple Choice,No Chart,Long
problem360,It is fatal to enter any war without the will to win it.,360,General Douglas MacArthur,"Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem361,Be what you are. This is the first step toward becoming better than you are.,361,Julius Charles Hare,"Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long
problem362,There is nothing in a caterpillar that tells you it's going to be a butterfly.,362,Buckminster Fuller,"Geometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short",,Geometry,,Arithmetic,Calculator,Multiple Choice,No Chart,Short
problem363,"Love and compassion open our own inner life, reducing stress, distrust and loneliness.",363,Dalai Lama,"Algebra,Trignometry,Calculator,Multiple Choice,No Chart,Long",Algebra,,Trignometry,,Calculator,Multiple Choice,No Chart,Long
problem364,Ideals are an imaginative understanding of that which is desirable in that which is possible.,364,Walter Lippmann,"Geometry,No Calculator,Multiple Choice,No Chart,Short",,Geometry,,,No Calculator,Multiple Choice,No Chart,Short
problem365,The superior man is satisfied and composed; the mean man is always full of distress.,365,Confucius,"Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short",,,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short
problem366,"If you spend too much time thinking about a thing, you'll never get it done.",366,Bruce Lee,"Algebra,Calculator,Grid-In,Chart,Short",Algebra,,,,Calculator,Grid-In,Chart,Short
problem367,The way is not in the sky. The way is in the heart.,367,Buddha,"Algebra,Trignometry,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem368,Most people are about as happy as they make up their minds to be,368,Abraham Lincoln,"Algebra,Geometry,Trignometry,Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,Trignometry,,Calculator,Multiple Choice,No Chart,Long
problem369,"Three things cannot be long hidden: the sun, the moon, and the truth.",369,Buddha,"Algebra,Calculator,Multiple Choice,Chart,Long",Algebra,,,,Calculator,Multiple Choice,Chart,Long
problem370,"More often than not, anger is actually an indication of weakness rather than of strength.",370,Dalai Lama,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long
problem371,"Before you put on a frown, make absolutely sure there are no smiles available.",371,Jim Beggs,"Algebra,Geometry,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,,,No Calculator,Grid-In,Chart,Short
problem372,A man of ability and the desire to accomplish something can do anything.,372,Donald Kircher,"Geometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",,Geometry,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem373,"You, yourself, as much as anybody in the entire universe, deserve your love and affection.",373,Buddha,"Arithmetic,Calculator,Grid-In,Chart,Short",,,,Arithmetic,Calculator,Grid-In,Chart,Short
problem374,It is not uncommon for people to spend their whole life waiting to start living.,374,Eckhart Tolle,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem375,Don't be afraid to go out on a limb. That's where the fruit is.,375,H. Jackson Browne,"Algebra,Geometry,Trignometry,Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,Trignometry,,Calculator,Multiple Choice,No Chart,Long
problem376,Wicked people are always surprised to find ability in those that are good.,376,Marquis Vauvenargues,"Trignometry,Calculator,Multiple Choice,No Chart,Short",,,Trignometry,,Calculator,Multiple Choice,No Chart,Short
problem377,"Life is so constructed that an event does not, cannot, will not, match the expectation.",377,Charlotte Bronte,"Geometry,No Calculator,Multiple Choice,No Chart,Long",,Geometry,,,No Calculator,Multiple Choice,No Chart,Long
problem378,"If you change the way you look at things, the things you look at change.",378,Wayne Dyer,"Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Short",,,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Short
problem379,No man can succeed in a line of endeavor which he does not like.,379,Napoleon Hill,"Algebra,Geometry,Arithmetic,Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Multiple Choice,Chart,Long
problem380,"You will not be punished for your anger, you will be punished by your anger.",380,Buddha,"Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem381,Don't judge each day by the harvest you reap but by the seeds you plant.,381,Robert Stevenson,"Geometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",,Geometry,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem382,"They say that time changes things, but you actually have to change them yourself.",382,Andy Warhol,"Arithmetic,Calculator,Multiple Choice,No Chart,Long",,,,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem383,"Never apologize for showing feelings. When you do so, you apologize for the truth.",383,Benjamin Disraeli,"Algebra,Geometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem384,The truth you believe and cling to makes you unavailable to hear anything new.,384,Pema Chodron,"Algebra,Trignometry,No Calculator,Multiple Choice,Chart,Short",Algebra,,Trignometry,,No Calculator,Multiple Choice,Chart,Short
problem385,"Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant.",385,Horace,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem386,"If you spend your whole life waiting for the storm, you'll never enjoy the sunshine.",386,Morris West,"Geometry,Trignometry,Calculator,Grid-In,Chart,Long",,Geometry,Trignometry,,Calculator,Grid-In,Chart,Long
problem387,The only limit to our realization of tomorrow will be our doubts of today.,387,Franklin Roosevelt,"Geometry,Trignometry,Calculator,Multiple Choice,Chart,Long",,Geometry,Trignometry,,Calculator,Multiple Choice,Chart,Long
problem388,Every action of our lives touches on some chord that will vibrate in eternity.,388,Edwin Chapin,"Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem389,"Shoot for the moon. Even if you miss, you'll land among the stars.",389,Les Brown,"Algebra,Geometry,No Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,,,No Calculator,Multiple Choice,No Chart,Long
problem390,It does not matter how slowly you go as long as you do not stop.,390,Confucius,"Algebra,Trignometry,No Calculator,Grid-In,Chart,Long",Algebra,,Trignometry,,No Calculator,Grid-In,Chart,Long
problem391,"Every day may not be good, but there's something good in every day.",391,Master Yoda,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Long
problem392,Most folks are about as happy as they make up their minds to be.,392,Abraham Lincoln,"Algebra,Calculator,Grid-In,Chart,Short",Algebra,,,,Calculator,Grid-In,Chart,Short
problem393,"If you would take, you must first give, this is the beginning of intelligence.",393,Lao Tzu,"Geometry,Trignometry,Calculator,Grid-In,Chart,Long",,Geometry,Trignometry,,Calculator,Grid-In,Chart,Long
problem394,"Some people think it's holding that makes one strong, sometimes it's letting go.",394,Master Yoda,"Arithmetic,Calculator,Grid-In,No Chart,Long",,,,Arithmetic,Calculator,Grid-In,No Chart,Long
problem395,It is on our failures that we base a new and different and better success.,395,Havelock Ellis,"No Calculator,Grid-In,No Chart,Long",,,,,No Calculator,Grid-In,No Chart,Long
problem396,Quality is never an accident; it is always the result of intelligent effort.,396,John Ruskin,"Geometry,Arithmetic,Calculator,Grid-In,No Chart,Short",,Geometry,,Arithmetic,Calculator,Grid-In,No Chart,Short
problem397,To study and not think is a waste. To think and not study is dangerous.,397,Confucius,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Short
problem398,"Life is a succession of lessons, which must be lived to be understood.",398,Ralph Emerson,"Trignometry,Calculator,Multiple Choice,Chart,Long",,,Trignometry,,Calculator,Multiple Choice,Chart,Long
problem399,Time changes everything except something within us which is always surprised by change.,399,Thomas Hardy,"Algebra,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem400,You are important enough to ask and you are blessed enough to receive back.,400,Wayne Dyer,"Algebra,Geometry,Trignometry,No Calculator,Multiple Choice,Chart,Short",Algebra,Geometry,Trignometry,,No Calculator,Multiple Choice,Chart,Short
problem401,"If you cannot do great things, do small things in a great way.",401,Napoleon Hill,"Calculator,Multiple Choice,No Chart,Short",,,,,Calculator,Multiple Choice,No Chart,Short
problem402,"If you want your life to be more rewarding, you have to change the way you think.",402,Oprah Winfrey,"Algebra,Trignometry,Calculator,Multiple Choice,No Chart,Short",Algebra,,Trignometry,,Calculator,Multiple Choice,No Chart,Short
problem403,"Transformation doesn't take place with a vacuum; instead, it occurs when we are indirectly and directly connected to all those around us.",403,Byron Pulsifer,"Geometry,No Calculator,Grid-In,No Chart,Short",,Geometry,,,No Calculator,Grid-In,No Chart,Short
problem404,The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.,404,Leonardo Ruiz,"Trignometry,No Calculator,Grid-In,Chart,Long",,,Trignometry,,No Calculator,Grid-In,Chart,Long
problem405,The free man is he who does not fear to go to the end of his thought.,405,Leon Blum,"Geometry,No Calculator,Grid-In,Chart,Long",,Geometry,,,No Calculator,Grid-In,Chart,Long
problem406,"Great are they who see that spiritual is stronger than any material force, that thoughts rule the world.",406,Ralph Emerson,"Algebra,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,,,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem407,A life spent making mistakes is not only more honourable but more useful than a life spent in doing nothing.,407,Bernard Shaw,"No Calculator,Grid-In,Chart,Long",,,,,No Calculator,Grid-In,Chart,Long
problem408,"The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own.",408,Lao Tzu,"Algebra,Geometry,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,,,No Calculator,Grid-In,Chart,Short
problem409,"Don't leave a stone unturned. It's always something, to know you have done the most you could.",409,Charles Dickens,"Algebra,Calculator,Multiple Choice,No Chart,Long",Algebra,,,,Calculator,Multiple Choice,No Chart,Long
problem410,"By going beyond your own problems and taking care of others, you gain inner strength, self-confidence, courage, and a greater sense of calm.",410,Dalai Lama,"Trignometry,Calculator,Grid-In,No Chart,Long",,,Trignometry,,Calculator,Grid-In,No Chart,Long
problem411,"We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly.",411,Sam Keen,"Arithmetic,No Calculator,Multiple Choice,No Chart,Long",,,,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem412,What lies behind us and what lies before us are tiny matters compared to what lies within us.,412,Walt Emerson,"Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem413,There are things so deep and complex that only intuition can reach it in our stage of development as human beings.,413,John Astin,"Trignometry,No Calculator,Grid-In,No Chart,Long",,,Trignometry,,No Calculator,Grid-In,No Chart,Long
problem414,"A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.",414,Elbert Hubbard,"Algebra,Trignometry,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem415,"There is no retirement for an artist, it's your way of living so there is no end to it.",415,Henry Moore,"Algebra,No Calculator,Grid-In,No Chart,Long",Algebra,,,,No Calculator,Grid-In,No Chart,Long
problem416,I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability.,416,Confucius,"Trignometry,Calculator,Grid-In,Chart,Short",,,Trignometry,,Calculator,Grid-In,Chart,Short
problem417,Why worry about things you can't control when you can keep yourself busy controlling the things that depend on you?,417,Master Yoda,"Geometry,Trignometry,No Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,,No Calculator,Grid-In,No Chart,Long
problem418,"When you are content to be simply yourself and don't compare or compete, everybody will respect you.",418,Laozi,"Trignometry,No Calculator,Multiple Choice,No Chart,Short",,,Trignometry,,No Calculator,Multiple Choice,No Chart,Short
problem419,"Be not afraid of greatness: some are born great, some achieve greatness, and some have greatness thrust upon them.",419,William Shakespeare,"Trignometry,No Calculator,Grid-In,No Chart,Short",,,Trignometry,,No Calculator,Grid-In,No Chart,Short
problem420,"Success means having the courage, the determination, and the will to become the person you believe you were meant to be.",420,George Sheehan,"Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Short",,,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Short
problem421,Do you want to know who you are? Don't ask. Act! Action will delineate and define you.,421,Thomas Jefferson,"Algebra,Geometry,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,,Calculator,Grid-In,No Chart,Long
problem422,"It is only with the heart that one can see rightly, what is essential is invisible to the eye.",422,Antoine de Saint-Exupery,"Geometry,Trignometry,Calculator,Multiple Choice,No Chart,Long",,Geometry,Trignometry,,Calculator,Multiple Choice,No Chart,Long
problem423,Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.,423,Marcel Proust,"Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem424,"Make the best use of what is in your power, and take the rest as it happens.",424,Epictetus,"Geometry,Trignometry,No Calculator,Grid-In,Chart,Short",,Geometry,Trignometry,,No Calculator,Grid-In,Chart,Short
problem425,The thoughts we choose to think are the tools we use to paint the canvas of our lives.,425,Louise Hay,"Arithmetic,Calculator,Grid-In,Chart,Long",,,,Arithmetic,Calculator,Grid-In,Chart,Long
problem426,No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto.,426,W. Clement Stone,"Algebra,Arithmetic,No Calculator,Grid-In,No Chart,Long",Algebra,,,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem427,The reason most goals are not achieved is that we spend our time doing second things first.,427,Robert McKain,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem428,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.",428,John Quincy Adams,"Algebra,No Calculator,Multiple Choice,No Chart,Short",Algebra,,,,No Calculator,Multiple Choice,No Chart,Short
problem429,"I'm a great believer in luck and I find the harder I work, the more I have of it.",429,Thomas Jefferson,"Algebra,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem430,"Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good.",430,Ralph Emerson,"Algebra,Geometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem431,The person born with a talent they are meant to use will find their greatest happiness in using it.,431,Johann Wolfgang von Goethe,"Algebra,Geometry,Arithmetic,Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Multiple Choice,Chart,Long
problem432,"Good people are good because they've come to wisdom through failure. We get very little wisdom from success, you know.",432,William Saroyan,"Calculator,Multiple Choice,Chart,Short",,,,,Calculator,Multiple Choice,Chart,Short
problem433,Your destiny isn't just fate; it is how you use your own developed abilities to get what you want.,433,Byron Pulsifer,"Geometry,Trignometry,Calculator,Grid-In,No Chart,Short",,Geometry,Trignometry,,Calculator,Grid-In,No Chart,Short
problem434,Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.,434,Leonardo da Vinci,"Geometry,Trignometry,Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,,Calculator,Grid-In,No Chart,Long
problem435,A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.,435,Isaac Asimov,"Algebra,Trignometry,No Calculator,Grid-In,Chart,Long",Algebra,,Trignometry,,No Calculator,Grid-In,Chart,Long
problem436,"Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars.",436,Henry Van Dyke,"Algebra,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",Algebra,,,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem437,"You got to be careful if you don't know where you're going, because you might not get there.",437,Yogi Berra,"Algebra,Trignometry,No Calculator,Grid-In,Chart,Short",Algebra,,Trignometry,,No Calculator,Grid-In,Chart,Short
